landcover_propforest,landcover_prophighshrub,landcover_proplowshrub,landcover_propreed,landcover_propsaltmarsh,landcover_propswamp,lidar_C_ppr,lidar_HH_reedveg_prop,lidar_HH_sd,lidar_HH_sd_low,lidar_VD_1_2,lidar_VD_2_3,lidar_VV_kurt,lidar_VV_p25,lidar_VV_std,optical_NDVImed,optical_NDVIsd_hor_100m,optical_NDVIstd,radar_VHsd_hor_100m,radar_VHstd,radar_VVmax,radar_VVstd,occurrence,x,y
170.6339264,0,0,377.4324341,0,2789.798584,0.235294119,38,5.653167248,0.623930871,0.1002331,0.069930069,-1.024499655,0.386500001,4.634427547,0.514274955,0.067220196,0.196032017,2.458780289,1.981503963,-8.685446739,1.671988606,0,198788.6391,521429.6167
0,0,0,0,0,0,0,12,2.601017714,1.330899835,0,0,-0.878357589,0.054000001,0.039385118,-0.081741229,0.148595825,0.078921877,2.703131676,6.730834007,17.81926727,7.487401485,0,252466.0697,607407.3896
295.2121582,0,0,336.2800903,0,3403.067871,0.311499268,78,0.647342205,0.647342205,0.002642706,0,39.76752853,0.135000005,0.101863734,0.577393174,0.136248648,0.122353122,0.536619663,2.941129208,-5.929976463,2.263409853,0,190275.8779,500908.9113
131.9938507,0,0,667.4512939,30.04000092,1321.90271,0.57993865,61,0.822543681,0.822543681,0,0,3.130862236,0.204999998,0.088603601,0.535233378,0.155096442,0.169962108,1.876252532,2.817368031,-7.138870716,2.902075291,0,192715.7815,535373.2842
211.8361511,0,0,168.1121979,0,1107,0.957161963,68,2.849890232,0.801882565,0.09375,0,3.613996267,0.150250003,0.318305552,0.441442072,0.033293754,0.107062325,1.611520767,2.601355314,-7.956041336,1.983752728,0,194331.2408,532738.0804
0,0,0,0,0,0,0.442562193,0,6.284893036,0.234341949,0,0.000978474,2.415581226,10.13549995,2.885229111,0.635554254,0.187285706,0.10403426,1.311655283,2.648619413,-8.531592369,1.81366539,0,217850.8829,546641.4666
42.27199936,0,0,42.27199936,0,0,0,2,0.392620832,0.392620832,0,0,-3,0,0,0.246219441,0.166835353,0.112078257,1.8607831,3.047001362,-9.763930321,3.260692835,0,199211.1566,433020.5955
0,0,0,0,0,0,0.865925908,14,4.548367977,0.862928212,0,0,3.440812111,0.171000004,0.070878804,0.634250879,0.030842017,0.034066446,1.934503675,2.584315777,-9.829360962,1.886090398,0,269606.5014,560351.2216
0,0,0,0,0,0,0.969581723,1,0.201844692,0.201844692,0,0,-0.001603387,0.118000001,0.020611318,0.401506811,0.017749585,0.118386209,0.538442135,2.938886166,-6.209893227,2.966262579,0,183967.3908,450336.0851
0,0,6118,0,0,2829,0.988943517,4,0.25071317,0.25071317,0,0,3.859691858,0.147,0.175931811,0.422093034,0.049393393,0.19364284,0.44203797,3.028489828,-5.614140511,2.736613512,0,213582.4903,595727.3329
171.4519958,4648,0,419.4680176,0,3692.016113,0.227761492,67,4.017521858,0.543559611,0.168987349,0.201898739,0.049175166,1.068750024,2.477868319,0.452522963,0.059033401,0.149450615,1.740900755,2.025981665,-5.527247906,2.081790447,0,193615.9737,531747.7216
217.4879608,0,0,0,0,0,0.97246629,22,0.879624903,0.879624903,0.04255319,0,1.627754807,0.156499997,0.253902316,0.679500103,0.086228967,0.100680307,0.870083153,2.646301508,-10.61588764,1.930249691,0,169596.5629,445467.8389
387.9039917,0,0,250.6999512,0,4181.144043,0.630033553,1,2.840758562,0.778501332,0.016129032,0.036866359,-1.021647573,3.633749962,3.360446215,0.643340707,0.031576805,0.090733036,0.604299724,2.57303381,-6.554196835,2.195209026,0,241551.6229,574131.0757
43.46959305,0,0,0,0,0,0.995660245,5,6.605451107,1.094137311,0,0,-0.209157586,0.149499997,0.015334369,0.496057898,0.06867896,0.080480725,2.233911514,2.305887699,-10.02585411,2.2117064,0,212598.3755,542716.9895
0,0,0,0,2970,0,0.996073306,0,0.068947189,0.068947189,0,0,-1.5,0.202999994,0.040835716,0.550467908,0.060534608,0.125814125,0.577357173,2.863365412,-5.078559875,2.464488983,0,222485.2211,604032.2118
213.5693665,332,1932.339844,420.4021301,60.95999908,780.3967285,0.222133756,6,5.082477093,1.466819167,0.026356192,0.038126919,-0.670855999,6.607500076,3.838720322,0.721443176,0.187667683,0.108870216,3.422281981,1.669516563,-2.523329973,2.011421919,0,256377.2458,543064.8077
1073.299927,6308,0,1155.904053,0,1230.604004,0.232787669,20,4.013057709,0.983483315,0.102290556,0.094132416,-0.900186241,2.105999947,2.787359476,0.632268906,0.035504203,0.140305728,1.554706693,1.881459236,-6.006414413,1.805942297,0,199711.498,526702.2567
0,0,0,0,92.89041901,0,0.987995207,0,0.153624922,0.153624922,0,0,0.382903814,0.149749994,0.055610161,0.768996418,0.092818484,0.159002706,0.891946197,3.112993479,-9.992103577,2.356948853,0,207300.0037,448870.588
129.4226074,0,0,85.90799713,0,0,0.380908668,4,8.308970451,1.380506992,0.142327651,0.289844334,3.172100067,2.084000111,2.47139287,0.674690485,0.06777928,0.174852937,1.70915246,2.329923153,-9.349472046,2.121599197,0,217310.5484,458849.5258
85.08414459,0,0,126.3542175,0,3280.27002,0.634962559,22,2.983392239,1.227223873,0.355850428,0.278648973,-0.126122504,1.274000049,1.063837528,0.554130495,0.026976805,0.186910093,1.859014511,2.659508705,-3.364304781,2.384773016,0,201074.471,519885.0291
0,0,0,0,0,3893.72583,0.887011588,68,1.271499991,1.187551856,0.551401854,0,-1.728266239,0.178000003,0.623890817,0.611608326,0.142388046,0.180978805,1.663030148,2.572736979,-8.350392342,2.153507233,0,243333.215,571744.4325
219.1599121,0,0,0,152.3999939,984,0.583333313,3,5.760855675,0.780243099,0.055555556,0,-0.015442606,0.180250004,0.272814929,0.661674976,0.067314133,0.064414114,1.724109054,2.217019796,-7.712143898,1.972828388,0,246638.5858,582435.358
0,0,0,0,3630,0,0.996971965,1,0.27793318,0.27793318,0,0,-0.997738838,0.133499995,0.014857658,0.520447075,0.036441281,0.090203375,0.709534407,2.768423557,-8.666895866,1.719665766,0,229923.8771,605129.7831
86.2480011,0,0,248.02005,0,4551.744141,0.984449744,115,0.450286657,0.450286657,0.769230783,0,-0.406410635,1.019000053,0.33898586,0.322053701,0.075100861,0.174127102,0.675097346,2.842069149,-1.39938879,4.578912735,0,188959.1537,533872.0558
0,0,0,0,0,0,0.990719259,11,0.346576214,0.346576214,0,0,-0.654635549,0.167500004,0.048758972,0.478920311,0.01863048,0.073645011,0.629552305,2.051011562,-7.827459812,2.178244829,0,208576.9781,601892.1092
128.5240479,0,0,166.868042,91.44000244,533.315979,0.962138057,17,0.523947358,0.523947358,0,0,4.143806934,0.082999997,0.078449383,0.759034097,0.054629091,0.034309786,0.633312404,2.522803545,-7.520513058,2.322095156,0,218550.8611,529179.885
0,0,0,0,0,4795.55957,0.986577153,96,0.381263196,0.381263196,0,0,-0.965837836,0.353249997,0.141138151,0.393209904,0.067583412,0.188402951,0.635023296,2.789179325,-9.712349892,2.514101505,0,192925.4155,534823.8617
0,0,0,0,0,4838,0.760424018,4,0.163186818,0.163186818,0,0,2.132467508,0.193000004,0.10664086,0.495326966,0.023590313,0.059075769,0.552965879,2.338537216,-8.983715057,2.169340134,0,227198.057,578137.7774
0,0,0,0,0,4550.575195,0.916573942,0,0.10843467,0.10843467,0,0,0.283001065,0.244499996,0.097344905,0.421700984,0.130855858,0.156397179,2.323829651,4.042903423,-6.520472527,3.299056053,0,241375.7203,532122.1777
0,0,0,0,0,0,0.813180149,0,0.052011941,0.052011941,0,0,3.590480089,0.178000003,0.080609292,0.551089406,0.038993999,0.048802149,0.467625469,3.034876585,-7.705956459,2.721823692,0,217302.4844,545714.3093
210.8921051,0,0,210.8921051,0,942.5753174,0.605224967,14,4.818268299,1.205422997,0.382352948,0.305147052,-0.682467043,0.984749973,0.89322412,0.664445698,0.082319796,0.18784973,1.836123347,2.324856281,-6.136869431,2.277582407,0,272943.01,555515.5878
1504.114014,2658.177979,966,1753.582031,0,1356.468018,0.68156004,2,4.443515301,1.104429603,0.028537456,0.01902497,-0.21102345,4.479000092,2.697304249,0.583621144,0.037859339,0.138445571,1.876421571,1.961678028,-7.195169926,2.024797916,0,198649.678,520741.8759
0,0,0,0,0,3403,0.998542249,43,0.927696586,0.927696586,0,0,-2,0.119000003,0.014,0.732373834,0.048056718,0.075241588,1.609683514,2.42472434,-8.007049561,2.243579149,0,248211.9965,560708.7049
0,0,0,0,0,0,0.921423793,17,1.406630278,1.153653979,0,0,1.816400528,0.210999995,0.138449118,0.74705267,0.066138968,0.108388416,1.44589901,2.746996641,-10.28634167,2.253974438,0,245955.6487,580587.9399
0,0,0,0,0,0,0.656514406,6,3.297621727,1.896308064,0.248768479,0.251231521,-0.725742936,1.734500051,1.355777383,0.58260709,0.043367215,0.090228975,1.263329744,2.043288708,-6.278285503,2.074182272,0,238874.9698,562071.9915
126.8159943,0,0,126.8159943,30.96347237,0,0.996415794,5,0.350697845,0.350697845,0.333333343,0,-1.5,0.165000007,0.473259151,0.730660856,0.031553239,0.07541687,0.887213409,2.022605419,-8.719361305,1.932411313,0,207605.6534,593021.8957
212.8549347,0,0,126.8159943,0,0,0.967426717,4,0.253513694,0.253513694,0,0,1.286957502,0.196999997,0.084054865,0.671003342,0.04026043,0.060838018,0.60804069,2.088253975,-6.572783947,2.694154978,0,204304.3654,527841.4306
0,0,0,82.64207458,0,2787.36792,0.997737527,49,1.79842782,0.742396176,0,0,-0.887302518,0.093249999,0.012932518,0.587791145,0.228249595,0.148064911,1.694417357,2.645426512,-10.07021332,2.431478739,0,203306.2336,525941.758
0,0,0,0,0,0,0.952548325,16,0.460518479,0.460518479,0.333333343,0,-1.506453633,0.11575,0.500380874,0.685011327,0.070250861,0.053152207,0.6324476,2.384494543,-6.075015068,2.433439732,0,247090.8999,565847.7517
86.40399933,0,0,0,0,0,0.996343672,1,2.880278587,0.829345345,0,0,-1.27126348,0,0.20412682,0.67000246,0.05443896,0.101212025,1.099257946,3.267857075,-8.127045631,2.731902599,0,212322.0752,521761.1582
0,1660.726074,0,0,90.84844971,2501,0.997361481,35,3.372705698,1.11981225,0,0,-2,0.204999998,0.064000003,0.449341357,0.079436056,0.107864909,2.004914045,2.417065382,-7.219091892,2.157053709,0,192548.6379,531613.6584
0,0,0,0,0,0,0.923832953,17,0.405518234,0.405518234,0,0,-0.323601216,0.152999997,0.104585357,0.438423991,0.064515539,0.194211736,0.592047751,2.760699987,-9.52771759,2.42585063,0,197917.6501,524735.8873
